train_params/lambda_sparsity,train/grad_norm,train_params/lambda_orient,train_params/lambda_opaque,train/loss_opaque,lr-Adam/geometry,step,train/max_step,train/loss_orient,epoch,train/loss_sparsity,lr-Adam/background,train_params/lambda_sds,train/loss_sds,train/min_step
1.0,23.112916946411133,19.503999710083008,0.0,0.19715312123298645,,48,980.0,0.018387392163276672,0,0.29355376958847046,,1.0,267.10345458984375,20.0
,,,,,0.01,49,,,,,0.001,,,
1.0,135.9989013671875,19.70199966430664,0.0,0.10150671005249023,,49,980.0,0.017098035663366318,0,0.19351111352443695,,1.0,9247.8515625,20.0
,,,,,0.01,50,,,,,0.001,,,
1.0,133.616943359375,19.899999618530273,0.0,0.13189855217933655,,50,980.0,0.01719212532043457,0,0.22414293885231018,,1.0,8926.7431640625,20.0
,,,,,0.01,51,,,,,0.001,,,
1.0,9.30877685546875,20.097999572753906,0.0,0.17100749909877777,,51,980.0,0.017311742529273033,0,0.2640427350997925,,1.0,43.32666015625,20.0
,,,,,0.01,52,,,,,0.001,,,
1.0,7.325740814208984,20.29599952697754,0.0,0.23676329851150513,,52,980.0,0.020787080749869347,0,0.34935301542282104,,1.0,26.833240509033203,20.0
,,,,,0.01,53,,,,,0.001,,,
1.0,44.763736724853516,20.493999481201172,0.0,0.16279050707817078,,53,980.0,0.020799238234758377,0,0.2665751874446869,,1.0,1001.8960571289062,20.0
,,,,,0.01,54,,,,,0.001,,,
1.0,14.769222259521484,20.691999435424805,0.0,0.17441076040267944,,54,980.0,0.017246363684535027,0,0.2673506736755371,,1.0,109.06495666503906,20.0
,,,,,0.01,55,,,,,0.001,,,
1.0,6.675536632537842,20.889999389648438,0.0,0.1838648021221161,,55,980.0,0.018136728554964066,0,0.2765710949897766,,1.0,22.281394958496094,20.0
,,,,,0.01,56,,,,,0.001,,,
1.0,112.93354034423828,21.08799934387207,0.0,0.2052844911813736,,56,980.0,0.022975917905569077,0,0.36004021763801575,,1.0,6376.99267578125,20.0
,,,,,0.01,57,,,,,0.001,,,
1.0,116.4972915649414,21.285999298095703,0.0,0.22424280643463135,,57,980.0,0.02125375345349312,0,0.3572787046432495,,1.0,6785.8095703125,20.0
,,,,,0.01,58,,,,,0.001,,,
1.0,114.38384246826172,21.483999252319336,0.0,0.09339958429336548,,58,980.0,0.017493998631834984,0,0.18602009117603302,,1.0,6541.83203125,20.0
,,,,,0.01,59,,,,,0.001,,,
1.0,167.35826110839844,21.68199920654297,0.0,0.1620970219373703,,59,980.0,0.017032239586114883,0,0.24959877133369446,,1.0,14004.3935546875,20.0
,,,,,0.01,60,,,,,0.001,,,
1.0,118.97254180908203,21.8799991607666,0.0,0.2396903932094574,,60,980.0,0.02091854438185692,0,0.36305081844329834,,1.0,7077.232421875,20.0
,,,,,0.01,61,,,,,0.001,,,
1.0,90.90921020507812,22.077999114990234,0.0,0.11075906455516815,,61,980.0,0.01709979958832264,0,0.20269522070884705,,1.0,4132.2421875,20.0
,,,,,0.01,62,,,,,0.001,,,
1.0,155.6097412109375,22.275999069213867,0.0,0.15680502355098724,,62,980.0,0.017036231234669685,0,0.24916106462478638,,1.0,12107.1953125,20.0
,,,,,0.01,63,,,,,0.001,,,
1.0,154.42282104492188,22.474000930786133,0.0,0.10750976204872131,,63,980.0,0.017838390544056892,0,0.20049810409545898,,1.0,11923.2041015625,20.0
,,,,,0.01,64,,,,,0.001,,,
1.0,195.24188232421875,22.672000885009766,0.0,0.18767239153385162,,64,980.0,0.01728086918592453,0,0.2771107852458954,,1.0,19059.6953125,20.0
,,,,,0.01,65,,,,,0.001,,,
1.0,106.75680541992188,22.8700008392334,0.0,0.2424325942993164,,65,980.0,0.023053189739584923,0,0.4418187737464905,,1.0,5698.5078125,20.0
,,,,,0.01,66,,,,,0.001,,,
1.0,70.09417724609375,23.06800079345703,0.0,0.2059367299079895,,66,980.0,0.018087750300765038,0,0.2984314262866974,,1.0,2456.5966796875,20.0
,,,,,0.01,67,,,,,0.001,,,
1.0,69.97467803955078,23.266000747680664,0.0,0.2191193401813507,,67,980.0,0.02093871496617794,0,0.3503289222717285,,1.0,2448.22802734375,20.0
,,,,,0.01,68,,,,,0.001,,,
